worker_id,category,user_zone,worker_zone,available,weekly_gigs,rating,completed_jobs,acceptance_rate,cancellation_rate,response_minutes,price,budget,distance_km,successful_booking
58,Plumber,East,South,1,11,3.2,189,0.95,0.03,110,265,361,2.8,1
14,Electrician,West,South,1,4,4.6,1,0.88,0.05,110,896,869,4.3,0
173,Plumber,North,West,1,13,3.7,67,0.9,0.22,139,455,1075,2.4,0
186,Electrician,North,North,1,12,3.6,20,0.93,0.26,99,769,1228,16.1,0
190,Carpenter,South,East,1,10,4.3,155,0.82,0.16,64,534,1246,9.8,0
286,Electrician,East,North,1,0,4.6,102,0.63,0.06,147,844,735,16.6,0
235,Electrician,East,South,1,8,4.1,191,0.79,0.27,104,941,749,24.9,1
253,Plumber,North,North,1,2,4.6,108,0.8,0.12,154,1158,1383,6.7,0
6,Plumber,East,East,1,6,3.3,0,0.98,0.26,69,1225,665,12.9,0
153,Electrician,South,East,1,8,4.9,135,0.96,0.18,127,239,529,23.3,0
158,Electrician,North,South,0,1,3.2,124,0.91,0.29,138,457,562,16.7,0
85,Carpenter,West,South,0,12,4.5,51,0.86,0.12,173,964,1197,22.5,0
127,Electrician,North,East,1,8,3.5,56,0.5,0.21,17,668,438,22.7,0
37,Electrician,East,West,1,2,4.4,146,0.79,0.07,123,1033,689,2.8,0
182,Mechanic,West,West,0,0,4.3,165,0.55,0.12,88,423,809,5.2,0
72,Mechanic,South,East,1,13,4.8,113,0.9,0.26,27,303,1407,21.0,0
122,Electrician,West,West,1,13,3.8,15,0.58,0.0,101,743,1231,7.5,0
285,Mechanic,South,South,1,0,4.2,138,0.53,0.09,14,1396,1276,12.8,0
81,Plumber,North,South,1,1,4.4,60,0.7,0.28,147,704,1485,15.1,0
215,Carpenter,East,South,1,5,3.5,101,0.57,0.19,119,847,448,0.7,0
289,Plumber,North,South,1,2,4.9,17,0.94,0.11,42,1097,1412,17.7,0
271,Plumber,East,North,0,2,3.5,27,0.87,0.05,74,1438,731,18.1,0
136,Mechanic,East,North,1,6,4.7,11,0.5,0.23,165,736,630,18.7,0
219,Plumber,North,North,0,11,4.8,139,0.52,0.11,143,503,1180,3.6,1
21,Carpenter,South,South,1,5,4.6,104,0.99,0.22,62,532,662,22.1,1
171,Mechanic,South,East,1,11,3.2,9,0.93,0.07,119,916,925,20.6,0
115,Plumber,South,West,1,13,3.1,197,0.64,0.19,104,1298,978,23.5,0
134,Electrician,East,North,1,6,3.7,80,0.72,0.3,31,988,1480,5.2,1
224,Plumber,South,East,1,10,4.8,159,0.66,0.25,78,1238,933,16.8,1
152,Electrician,South,West,1,6,4.4,44,0.81,0.09,142,200,922,7.5,0
297,Carpenter,West,West,1,3,4.0,188,0.58,0.03,133,1496,1568,8.7,0
121,Carpenter,South,South,1,0,3.5,121,0.81,0.23,118,1048,1589,14.6,0
197,Mechanic,West,South,1,11,3.0,192,0.93,0.27,110,648,660,20.2,0
238,Plumber,South,North,1,12,3.9,135,0.99,0.18,115,1454,1333,11.0,0
229,Electrician,West,West,1,3,4.7,70,0.88,0.16,162,689,862,11.3,0
121,Carpenter,East,East,0,1,3.3,59,0.69,0.05,56,331,1149,10.5,0
213,Plumber,South,West,1,12,4.2,178,0.51,0.26,149,979,1276,0.6,1
200,Mechanic,South,West,1,6,4.0,99,0.67,0.2,105,538,1257,23.0,0
274,Plumber,West,North,1,6,3.3,118,0.59,0.08,85,633,1231,8.5,0
195,Carpenter,West,East,1,7,3.0,138,0.53,0.29,59,340,382,19.0,0
103,Plumber,South,South,1,10,3.2,55,0.73,0.08,96,543,1540,15.4,0
59,Electrician,East,North,1,14,3.6,173,0.95,0.11,52,355,1512,17.4,0
53,Carpenter,North,North,1,6,4.3,17,0.75,0.1,109,1203,516,11.1,0
236,Electrician,West,South,1,10,3.5,137,0.89,0.14,153,749,960,21.4,0
45,Carpenter,West,South,1,9,4.2,97,0.67,0.15,85,572,1298,5.7,0
175,Carpenter,East,North,1,3,3.2,184,0.7,0.17,63,1175,1305,11.5,1
151,Electrician,West,South,1,9,3.7,141,0.77,0.13,142,877,1020,17.7,0
129,Electrician,North,South,1,11,4.1,195,0.85,0.06,125,766,1507,24.4,0
145,Plumber,South,East,1,2,3.6,181,0.77,0.08,15,1333,898,17.6,1
252,Plumber,North,East,1,7,3.7,13,0.63,0.26,31,333,1120,12.5,0
28,Electrician,South,East,1,3,3.2,195,0.71,0.18,160,662,1370,9.8,0
153,Mechanic,East,North,1,11,3.2,195,0.6,0.06,171,366,621,6.4,0
81,Plumber,West,West,1,7,3.6,59,0.64,0.08,118,345,778,23.1,0
102,Mechanic,North,South,1,14,3.5,36,0.54,0.05,80,1418,1465,23.1,0
240,Carpenter,West,East,1,7,3.9,153,0.52,0.13,84,1436,812,1.1,1
295,Plumber,East,North,1,2,3.9,166,0.72,0.08,151,1092,1600,20.4,0
241,Carpenter,West,East,1,1,4.7,84,0.71,0.15,171,1020,1426,1.4,1
